#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2285 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.36 aq:19.14 tex:66984 mv:43386 misc:278 imb:8160 pmb:0 smb:0 d:- ref:;
in:34 out:33 type:P dur:2 cpbdur:2 q:28.38 aq:17.70 tex:110090 mv:38189 misc:1153 imb:5179 pmb:778 smb:2203 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:28.23 aq:20.77 tex:5310 mv:2329 misc:2529 imb:106 pmb:436 smb:7618 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:28.95 aq:17.73 tex:150554 mv:37845 misc:1025 imb:5078 pmb:699 smb:2383 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:28.66 aq:19.70 tex:34359 mv:26849 misc:5176 imb:764 pmb:2092 smb:5304 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:28.52 aq:20.55 tex:45413 mv:39037 misc:4214 imb:1442 pmb:2122 smb:4596 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:28.80 aq:20.49 tex:2400 mv:1425 misc:1935 imb:26 pmb:342 smb:7792 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:28.98 aq:17.94 tex:81223 mv:37835 misc:2614 imb:2312 pmb:2095 smb:3753 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:28.96 aq:19.56 tex:16579 mv:21366 misc:5359 imb:340 pmb:1886 smb:5934 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:28.95 aq:20.75 tex:8537 mv:9297 misc:4702 imb:153 pmb:1297 smb:6710 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:28.97 aq:21.09 tex:11998 mv:15429 misc:5221 imb:240 pmb:1643 smb:6277 d:- ref:0 ;
